FECHA,MER,PED,TLA,XAL,LOM,LPR,NEZ,SHA,UIZ
02/01/2018,55,43,65,77,45,58,49,-99,-99
08/01/2018,91,57,77,127,59,94,93,-99,-99
14/01/2018,54,-99,54,61,43,58,45,-99,54
20/01/2018,72,31,56,124,36,82,77,-99,65
26/01/2018,54,47,77,91,56,72,47,-99,52
01/02/2018,60,39,57,-99,43,67,66,-99,54
07/02/2018,77,52,64,-99,52,88,82,-99,78
13/02/2018,81,54,85,-99,56,54,68,-99,-99
19/02/2018,41,38,63,-99,45,51,45,-99,-99
25/02/2018,38,33,40,48,29,47,38,-99,36
03/03/2018,60,46,68,85,-99,70,63,-99,61
09/03/2018,64,42,56,88,40,66,66,-99,60
15/03/2018,69,47,65,94,43,62,60,-99,57
21/03/2018,64,-99,66,90,55,64,71,-99,74
27/03/2018,72,-99,78,84,59,81,62,-99,67
02/04/2018,54,-99,55,83,42,63,56,-99,52
08/04/2018,43,-99,52,80,33,51,51,-99,45
14/04/2018,36,-99,45,68,28,44,37,-99,40
20/04/2018,56,38,54,68,45,53,52,-99,55
26/04/2018,63,41,64,89,56,75,54,-99,61
02/05/2018,37,22,44,64,41,43,37,-99,35
08/05/2018,44,23,43,54,37,34,34,-99,36
14/05/2018,52,36,57,74,43,45,-99,-99,50
20/05/2018,33,21,35,50,26,29,27,-99,31
26/05/2018,43,-99,45,65,29,44,36,-99,45
01/06/2018,59,46,64,82,48,49,52,-99,58
07/06/2018,55,43,55,70,43,54,44,-99,51
13/06/2018,17,15,24,28,20,27,11,-99,13
19/06/2018,19,14,26,35,15,-99,14,-99,12
25/06/2018,34,28,44,51,36,27,23,-99,28
01/07/2018,32,36,54,61,38,44,40,-99,44
07/07/2018,26,17,32,32,24,18,17,-99,20
13/07/2018,50,39,-99,60,39,39,38,-99,49
19/07/2018,44,-99,46,82,38,45,42,-99,45
25/07/2018,43,-99,45,72,37,40,42,-99,41
31/07/2018,33,23,37,59,26,36,26,-99,34
06/08/2018,21,13,22,33,15,13,15,-99,19
12/08/2018,22,17,31,36,24,19,18,-99,-99
18/08/2018,28,19,31,46,26,22,24,-99,25
24/08/2018,34,26,37,-99,29,37,29,-99,31
30/08/2018,26,16,29,43,21,27,21,-99,24
05/09/2018,33,26,34,48,28,26,25,-99,31
11/09/2018,41,29,48,61,32,39,30,-99,34
17/09/2018,37,26,36,61,0,43,41,-99,39
23/09/2018,23,16,34,26,16,15,18,-99,20
29/09/2018,34,27,38,60,26,24,28,-99,34
05/10/2018,29,19,32,47,28,23,26,-99,27
11/10/2018,40,34,44,53,31,29,32,-99,35
17/10/2018,25,16,23,33,16,12,13,-99,23
23/10/2018,-99,23,40,72,24,46,25,-99,35
29/10/2018,24,-99,27,32,19,17,17,-99,26
04/11/2018,-99,21,29,33,23,23,16,-99,24
10/11/2018,39,31,50,52,31,39,35,-99,41
16/11/2018,59,30,-99,104,34,70,45,-99,49
22/11/2018,69,46,76,131,55,95,68,-99,68
28/11/2018,32,21,48,50,27,45,27,-99,28
04/12/2018,66,48,75,108,53,62,53,-99,64
10/12/2018,71,58,70,89,49,63,54,-99,65
16/12/2018,73,62,76,102,65,91,69,-99,73
22/12/2018,103,55,76,182,69,153,94,-99,95
28/12/2018,53,24,53,86,37,62,46,-99,45
