FECHA,MER,PED,TLA,XAL,UIZ
02/01/2018,91,65,118,160,121
08/01/2018,190,110,144,239,156
14/01/2018,98,72,95,129,97
20/01/2018,131,67,115,232,127
26/01/2018,98,70,139,172,92
01/02/2018,111,71,105,187,107
07/02/2018,139,100,124,208,150
13/02/2018,124,91,137,183,152
19/02/2018,-99,65,107,132,104
25/02/2018,82,52,80,104,73
03/03/2018,-99,87,129,182,130
09/03/2018,111,81,108,197,106
15/03/2018,115,84,111,167,111
21/03/2018,121,-99,121,190,123
27/03/2018,135,-99,141,166,131
02/04/2018,102,-99,107,172,104
08/04/2018,84,-99,96,153,95
14/04/2018,73,43,87,130,71
20/04/2018,103,74,99,131,92
26/04/2018,-99,76,89,156,85
02/05/2018,64,46,92,126,60
08/05/2018,-99,-99,56,83,52
14/05/2018,-99,-99,94,141,79
20/05/2018,-99,-99,58,74,53
26/05/2018,-99,-99,84,122,68
01/06/2018,-99,-99,114,150,99
07/06/2018,-99,-99,103,137,93
13/06/2018,-99,-99,39,50,20
19/06/2018,-99,-99,45,74,25
25/06/2018,-99,-99,75,98,53
01/07/2018,-99,-99,-99,96,68
07/07/2018,-99,-99,68,66,42
13/07/2018,-99,-99,80,109,77
19/07/2018,-99,-99,85,153,79
25/07/2018,-99,-99,75,131,72
31/07/2018,-99,-99,63,113,67
06/08/2018,-99,-99,43,65,33
12/08/2018,-99,-99,44,65,26
18/08/2018,-99,-99,51,90,42
24/08/2018,-99,-99,67,114,55
30/08/2018,-99,-99,54,-99,43
05/09/2018,-99,-99,53,97,59
11/09/2018,-99,-99,66,108,54
17/09/2018,-99,-99,52,121,63
23/09/2018,-99,-99,55,49,37
29/09/2018,-99,-99,72,126,72
05/10/2018,-99,-99,67,93,59
11/10/2018,-99,-99,67,86,50
17/10/2018,-99,-99,50,67,46
23/10/2018,-99,-99,69,142,59
29/10/2018,-99,-99,51,68,49
04/11/2018,-99,-99,41,59,41
10/11/2018,-99,-99,-99,117,65
16/11/2018,-99,-99,110,203,87
22/11/2018,-99,-99,119,220,122
28/11/2018,-99,-99,75,119,61
04/12/2018,-99,-99,120,178,98
10/12/2018,-99,-99,123,170,104
16/12/2018,-99,-99,-99,173,112
22/12/2018,-99,-99,-99,324,162
28/12/2018,-99,-99,93,135,93
