ID_ENTIDAD,ID_MUNICIPIO,ANIO,MES,ID_HORA,ID_MINUTO,ID_DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,CAUSAACCI,CLASACC
15,2,2018,1,0,0,0,Certificado cero,Sin accidente en esta zona,Sin accidente en esta zona,Certificado cero,Certificado cero,Certificado cero
15,5,2018,1,0,0,0,Certificado cero,Sin accidente en esta zona,Sin accidente en esta zona,Certificado cero,Certificado cero,Certificado cero
15,6,2018,1,0,0,0,Certificado cero,Sin accidente en esta zona,Sin accidente en esta zona,Certificado cero,Certificado cero,Certificado cero
15,7,2018,1,0,0,0,Certificado cero,Sin accidente en esta zona,Sin accidente en esta zona,Certificado cero,Certificado cero,Certificado cero
15,12,2018,1,0,0,0,Certificado cero,Sin accidente en esta zona,Sin accidente en esta zona,Certificado cero,Certificado cero,Certificado cero
15,13,2018,1,11,0,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,17,30,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,19,40,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,0,30,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,7,30,30,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,10,20,30,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,40,30,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,19,50,30,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,21,20,30,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,30,30,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,6,0,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,6,45,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,13,2018,1,7,25,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,8,26,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,No fatal
15,13,2018,1,8,50,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,No fatal
15,13,2018,1,13,20,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,15,25,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,16,30,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,18,45,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,30,31,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,9,9,1,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,17,15,4,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,6,30,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,14,37,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,16,30,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,16,19,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,19,32,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,20,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,2,0,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,13,2018,1,3,50,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,8,50,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,0,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,25,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,12,0,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,17,59,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,2,0,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,9,30,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,13,40,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,13,2018,1,14,40,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Salida del camino,Conductor,Sólo daños
15,13,2018,1,20,45,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,22,0,28,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,No fatal
15,13,2018,1,6,30,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,8,50,29,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,12,5,1,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,7,15,2,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,No fatal
15,13,2018,1,8,11,2,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,0,2,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,13,0,2,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,14,0,2,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,0,3,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,19,40,3,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,0,3,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,40,4,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,15,0,4,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,13,20,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,12,15,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,15,15,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,50,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,9,15,11,Jueves,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,13,2018,1,11,0,10,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,50,11,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,7,50,12,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,0,0,1,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,14,50,12,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,16,20,12,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,23,0,12,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,0,20,13,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,13,30,13,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,16,30,13,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,22,0,13,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,7,30,14,Domingo,Accidente en intersección,Sin accidente en esta zona,Caída de pasajero,Conductor,No fatal
15,13,2018,1,16,45,14,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,50,14,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,22,30,13,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,10,43,15,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,13,0,15,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,8,40,16,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,8,40,16,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,0,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,13,2018,1,9,40,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,5,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,19,10,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,20,30,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,21,10,17,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,8,30,18,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,15,18,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,6,58,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,0,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,Conductor,No fatal
15,13,2018,1,9,12,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,8,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,14,17,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Salida del camino,Conductor,Sólo daños
15,13,2018,1,15,20,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,16,43,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,23,50,19,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,2,30,20,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,3,40,20,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,16,0,20,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,16,10,20,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,19,20,20,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,4,30,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Volcadura,Conductor,Sólo daños
15,13,2018,1,5,0,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,11,45,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,13,0,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,19,40,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,20,5,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,0,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,23,0,21,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,11,20,22,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,20,20,22,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,No fatal
15,13,2018,1,10,19,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,12,0,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,13,55,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,No fatal
15,13,2018,1,14,10,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,16,30,23,Martes,Accidente en intersección,Sin accidente en esta zona,Salida del camino,Conductor,Sólo daños
15,13,2018,1,17,28,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,19,0,23,Martes,Accidente en intersección,Sin accidente en esta zona,Salida del camino,Conductor,Sólo daños
15,13,2018,1,22,0,23,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,7,29,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,9,10,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,13,30,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,20,5,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,30,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,No fatal
15,13,2018,1,23,10,24,Miércoles,Accidente en intersección,Sin accidente en esta zona,Salida del camino,Conductor,Sólo daños
15,13,2018,1,8,20,25,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,9,10,25,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,10,30,25,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,12,45,25,Jueves,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,10,20,26,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,0,26,Viernes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,0,12,27,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,17,20,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,5,0,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,11,30,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,Conductor,Sólo daños
15,13,2018,1,12,0,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,12,30,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con peatón (atropellamiento),Conductor,No fatal
15,13,2018,1,15,50,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,16,0,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,17,30,6,Sábado,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,1,30,7,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,No fatal
15,13,2018,1,4,0,7,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,11,25,7,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,7,29,7,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,12,20,7,Domingo,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,2,30,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,6,45,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,7,40,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,10,0,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,19,30,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,20,20,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
15,13,2018,1,21,30,8,Lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,13,0,9,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con motocicleta,Conductor,Sólo daños
15,13,2018,1,15,30,9,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con objeto fijo,Conductor,Sólo daños
15,13,2018,1,14,40,9,Martes,Accidente en intersección,Sin accidente en esta zona,Colisión con vehículo automotor,Conductor,Sólo daños
